HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
1880.5,2.45,3.39,0.96,1.39,0.40,1.78,0.62,0.95,0.29,0.50,1.41,1.56,1.45,1.84,0.44,0.58
1881.5,3.57,4.80,1.40,2.01,0.59,2.61,0.96,1.45,0.45,0.74,2.11,2.45,2.20,2.62,0.64,0.89
1882.5,4.32,5.87,1.88,2.65,0.70,3.27,1.24,1.96,0.61,1.00,2.79,3.16,2.97,3.37,0.88,1.17
1883.5,4.86,5.30,2.49,3.17,0.71,3.81,1.35,2.04,0.70,1.11,3.09,3.49,3.07,3.72,0.97,1.39
1884.5,4.74,4.46,2.97,3.13,0.50,3.67,1.33,1.97,0.70,1.11,3.09,3.46,2.88,3.68,0.95,1.44
1885.5,4.15,3.44,3.00,2.81,0.36,3.12,1.05,1.83,0.62,1.01,2.61,3.17,2.31,3.32,0.82,1.31
1886.5,3.10,2.57,2.47,2.13,0.25,2.49,0.77,1.39,0.50,0.79,1.93,2.42,1.81,2.48,0.64,1.09
1887.5,2.13,1.83,1.61,1.56,0.20,1.65,0.54,1.01,0.36,0.58,1.32,1.72,1.25,1.84,0.45,0.77
1888.5,1.41,1.37,1.01,0.99,0.14,1.11,0.37,0.65,0.21,0.35,0.85,1.07,0.86,1.16,0.27,0.48
1889.5,0.78,0.78,0.51,0.51,0.09,0.61,0.20,0.34,0.12,0.19,0.46,0.60,0.46,0.64,0.15,0.24
4112.5,2.02,2.67,0.93,1.22,0.34,1.56,0.55,0.86,0.29,0.45,1.18,1.44,1.32,1.55,0.38,0.56
4113.5,2.48,3.16,1.13,1.59,0.38,1.92,0.69,1.08,0.36,0.59,1.53,1.99,1.75,1.99,0.50,0.70
4114.5,2.75,3.38,1.39,1.85,0.46,2.21,0.82,1.21,0.43,0.69,1.82,2.15,1.94,2.37,0.58,0.85
4115.5,2.88,3.30,1.67,2.08,0.39,2.33,0.88,1.36,0.47,0.72,1.91,2.34,1.87,2.42,0.64,0.98
4116.5,2.91,2.86,1.95,2.16,0.33,2.38,0.88,1.28,0.47,0.74,1.87,2.41,1.82,2.50,0.60,0.96
4117.5,2.59,2.54,1.88,1.99,0.28,2.08,0.71,1.17,0.41,0.64,1.66,2.17,1.64,2.32,0.55,0.91
4118.5,2.22,2.11,1.59,1.62,0.21,1.68,0.58,1.02,0.35,0.56,1.37,1.86,1.32,1.84,0.45,0.79
4119.5,1.84,1.76,1.23,1.27,0.19,1.40,0.47,0.82,0.28,0.43,1.11,1.44,1.06,1.51,0.36,0.59
4120.5,1.50,1.48,1.00,1.00,0.18,1.12,0.39,0.63,0.22,0.35,0.88,1.18,0.87,1.21,0.30,0.49
4121.5,1.22,1.25,0.75,0.77,0.15,0.95,0.32,0.52,0.18,0.27,0.69,0.91,0.70,0.94,0.23,0.37
6368.5,2.24,3.23,0.84,1.20,0.40,1.66,0.61,0.90,0.31,0.46,1.29,1.46,1.38,1.65,0.38,0.53
6369.5,3.03,4.27,1.17,1.76,0.55,2.32,0.86,1.34,0.43,0.64,1.88,2.15,1.96,2.30,0.57,0.77
6370.5,3.70,4.64,1.61,2.18,0.61,2.78,1.08,1.59,0.50,0.83,2.28,2.62,2.34,2.83,0.70,0.99
6371.5,3.95,4.14,2.11,2.52,0.50,2.97,1.10,1.69,0.53,0.90,2.49,2.84,2.50,2.96,0.78,1.11
6372.5,3.77,3.44,2.53,2.50,0.40,2.89,1.00,1.63,0.55,0.87,2.37,2.79,2.29,2.81,0.74,1.13
6373.5,3.09,2.57,2.42,2.10,0.28,2.39,0.81,1.39,0.49,0.77,1.90,2.33,1.82,2.49,0.65,0.99
6374.5,2.30,1.99,1.89,1.63,0.21,1.82,0.55,1.05,0.39,0.55,1.36,1.80,1.29,1.90,0.46,0.79
6375.5,1.60,1.40,1.16,1.01,0.15,1.24,0.38,0.72,0.23,0.40,0.92,1.25,0.89,1.33,0.31,0.55
6376.5,1.10,1.02,0.71,0.70,0.11,0.82,0.28,0.46,0.16,0.25,0.60,0.81,0.60,0.82,0.21,0.33
6377.5,0.55,0.52,0.34,0.34,0.06,0.41,0.14,0.23,0.08,0.12,0.31,0.41,0.31,0.41,0.10,0.16
8528.5,0.90,1.31,0.32,0.47,0.16,0.65,0.25,0.36,0.12,0.18,0.50,0.56,0.56,0.61,0.16,0.21
8529.5,2.50,3.44,0.80,1.27,0.47,1.84,0.67,0.94,0.33,0.51,1.40,1.48,1.56,1.61,0.42,0.52
8530.5,3.53,4.24,1.42,1.85,0.62,2.64,1.00,1.36,0.47,0.71,2.08,2.23,2.02,2.30,0.61,0.81
8531.5,4.13,4.16,2.11,2.28,0.54,2.99,1.11,1.56,0.56,0.81,2.28,2.59,2.30,2.63,0.69,0.98
8532.5,4.00,3.26,2.71,2.30,0.36,2.89,1.07,1.58,0.58,0.83,2.14,2.57,2.11,2.44,0.67,0.98
8533.5,3.18,2.29,2.64,2.01,0.24,2.45,0.81,1.32,0.51,0.69,1.67,2.19,1.61,2.06,0.54,0.87
8534.5,2.00,1.49,1.71,1.30,0.14,1.57,0.48,0.93,0.32,0.52,1.07,1.42,1.10,1.54,0.38,0.61
8535.5,0.93,0.75,0.69,0.57,0.08,0.74,0.22,0.41,0.14,0.23,0.53,0.67,0.51,0.73,0.17,0.31
8536.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8537.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
